,customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_risk_score,churn_risk
74,004288347e5e88a27ded2bb23747066c,106,2,317.89,2,1,3,6,Medium
98,0058f300f57d7b93c477a131a59b36c3,39,2,132.48,3,1,2,6,Medium
226,00cc12a6d8b578b8ebd21ea4e2ae8b27,405,2,99.80000000000001,1,1,1,3,High
304,011575986092c30523ecb71ff10cb473,12,2,182.9,3,1,2,6,Medium
316,011b4adcd54683b480c4d841250a987f,74,2,183.43,3,1,2,6,Medium
357,013f4353d26bb05dc6652f1269458d8d,153,2,276.9,2,1,3,6,Medium
381,015557c9912277312b9073947804a7ba,364,2,289.9,1,1,3,5,High
438,01886ef98f995e4f2dd75a1d04c97397,52,2,41.260000000000005,3,1,1,5,High
447,018b5a7502c30eb5f230f1b4eb23a156,253,2,79.98,1,1,1,3,High
470,01a22e2079ea71e17313b88e5811e54a,98,2,142.0,2,1,2,5,High
504,01c289bb06354cdc7e6549570f20ada4,125,2,139.98000000000002,2,1,2,5,High
534,01ea7dfdac01a4e8fbe2902b73510b20,80,2,173.9,3,1,2,6,Medium
578,02168ea18740a0fdaaa15f11bebba5db,203,2,199.6,2,1,2,5,High
674,027803eb28cc01fbdf5da72b109fabee,195,2,64.99,2,1,1,4,High
721,029b457bd01199c39136f89e0eddcd3a,116,2,278.0,2,1,3,6,Medium
739,02b20b7c813efede140142ac610e36dc,42,2,172.89,3,1,2,6,Medium
809,02e4c56fefa30628768ffe326d332e2f,109,2,63.980000000000004,2,1,1,4,High
815,02e9827c15167f699df7bf90d326ffdb,23,2,45.98,3,1,1,5,High
836,02fbe4db886eb98774c8ba300d39fa79,72,2,162.0,3,1,2,6,Medium
881,031ea691b99fc101dcad357d1a83573f,294,2,56.989999999999995,1,1,1,3,High
908,0333b2fc6ba7014702e08ef613850270,175,2,50.699999999999996,2,1,1,4,High
987,038301b43811478e1a8dc0e476eaf52e,18,2,607.0,3,1,3,7,Medium
1009,0396c443fdda5498c7e9ed5b34871c5a,360,2,85.89,1,1,1,3,High
1070,03dabd77cb0ed7a26fafe19e36b67742,350,2,48.98,1,1,1,3,High
1138,041caba6a63ace5818387698ea85cdb2,164,2,58.989999999999995,2,1,1,4,High
1169,043aee247e71edff7045664609f4d806,287,3,359.65,1,3,3,7,Medium
1188,0451ef5a31cea3e14ce02d768d7c9943,316,2,345.48,1,1,3,5,High
1237,0488328f0b499963e32a37fa42a20ca0,235,2,348.9,1,1,3,5,High
1250,048dbdf8f9bbd1be87b25868d1408311,175,2,144.9,2,1,2,5,High
1306,04be500031efe43d2defff8c41810543,88,2,218.9,3,1,2,6,Medium
1314,04c55667b44fae5f50ed71d40c633d09,327,2,22.9,1,1,1,3,High
1330,04d3c2795b83634312bf3f86f41f7901,265,2,557.99,1,1,3,5,High
1345,04e495a3f45df8b41be2e934bbc16961,97,2,160.89,2,1,2,5,High
1387,04fc637963fe982dd25ac58e4f4770c1,36,2,88.95,3,1,1,5,High
1399,050555c26479bbb8ba0740c37e7454d0,23,2,80.0,3,1,1,5,High
1454,053b7090271ed4dacbfe0afd6382bbab,214,2,69.86,1,1,1,3,High
1458,053f7850c3ffd9726cff61c7e42af797,305,2,43.0,1,1,1,3,High
1485,055ec572ac7f3c7bdd04a183830ebe59,286,2,3999.98,1,1,3,5,High
1490,05669445931c028d97b7c0637b5a2359,205,2,180.0,2,1,2,5,High
1547,059d1f5650f05d9fed9a6d941593f9b4,43,2,99.97,3,1,1,5,High
1614,05e52c1f96f8b83dd66dcdce679ff58d,280,2,210.0,1,1,2,4,High
1621,05edb10f73fe7d03959ff26540913b3a,117,2,200.4,2,1,2,5,High
1625,05ef855308303397f1427f29470bb6ab,42,2,43.89,3,1,1,5,High
1662,060f9ea0a180843fb91d4923b6d01bea,51,2,576.8,3,1,3,7,Medium
