,date,product_category,total_sales
0,2016-09-15,health_beauty,134.97
1,2016-10-03,fashion_shoes,29.99
2,2016-10-03,furniture_decor,194.8
3,2016-10-03,sports_leisure,58.39
4,2016-10-03,toys,128.9
5,2016-10-03,watches_gifts,29.9
6,2016-10-04,air_conditioning,749.69
7,2016-10-04,auto,9.9
8,2016-10-04,baby,279.79
9,2016-10-04,bed_bath_table,159.8
10,2016-10-04,computers_accessories,71.0
11,2016-10-04,consoles_games,1932.47
12,2016-10-04,cool_stuff,178.9
13,2016-10-04,fixed_telephony,199.0
14,2016-10-04,furniture_decor,1075.89
15,2016-10-04,garden_tools,179.9
16,2016-10-04,health_beauty,741.1
17,2016-10-04,housewares,289.70000000000005
18,2016-10-04,office_furniture,86.99
19,2016-10-04,perfumery,1164.3
20,2016-10-04,sports_leisure,698.89
21,2016-10-04,telephony,19.99
22,2016-10-04,toys,708.59
23,2016-10-05,air_conditioning,599.6
24,2016-10-05,auto,354.89
25,2016-10-05,baby,329.99
26,2016-10-05,bed_bath_table,169.9
27,2016-10-05,computers_accessories,143.88
28,2016-10-05,consoles_games,629.9
29,2016-10-05,fashio_female_clothing,54.9
30,2016-10-05,fashion_male_clothing,24.9
31,2016-10-05,fixed_telephony,149.99
32,2016-10-05,furniture_decor,387.71000000000004
33,2016-10-05,health_beauty,121.84
34,2016-10-05,industry_commerce_and_business,89.9
35,2016-10-05,market_place,467.40000000000003
36,2016-10-05,office_furniture,86.99
37,2016-10-05,perfumery,559.7
38,2016-10-05,sports_leisure,649.0
39,2016-10-05,telephony,109.69999999999999
40,2016-10-05,toys,1239.58
41,2016-10-06,auto,499.99
42,2016-10-06,baby,199.8
43,2016-10-06,bed_bath_table,59.9
44,2016-10-06,computers_accessories,20.9
45,2016-10-06,cool_stuff,206.8
46,2016-10-06,electronics,107.99
47,2016-10-06,fashion_bags_accessories,163.7
48,2016-10-06,fixed_telephony,79.99
49,2016-10-06,furniture_decor,278.78000000000003
50,2016-10-06,garden_tools,139.99
51,2016-10-06,health_beauty,370.67
52,2016-10-06,housewares,399.8
53,2016-10-06,market_place,225.9
54,2016-10-06,perfumery,1219.3
55,2016-10-06,pet_shop,209.8
56,2016-10-06,sports_leisure,153.7
57,2016-10-06,telephony,29.9
58,2016-10-06,toys,240.88
59,2016-10-06,watches_gifts,1282.17
60,2016-10-07,audio,132.0
61,2016-10-07,auto,101.49000000000001
62,2016-10-07,baby,227.70000000000002
63,2016-10-07,computers_accessories,180.45000000000002
64,2016-10-07,cool_stuff,660.4
65,2016-10-07,fixed_telephony,269.9
66,2016-10-07,furniture_decor,635.13
67,2016-10-07,garden_tools,590.0
68,2016-10-07,health_beauty,467.66
69,2016-10-07,housewares,329.70000000000005
70,2016-10-07,industry_commerce_and_business,89.9
71,2016-10-07,market_place,58.0
72,2016-10-07,office_furniture,129.97
73,2016-10-07,perfumery,857.3999999999999
74,2016-10-07,pet_shop,379.98
75,2016-10-07,sports_leisure,138.0
76,2016-10-07,telephony,18.9
77,2016-10-07,toys,808.77
78,2016-10-08,baby,333.89
79,2016-10-08,computers_accessories,198.79000000000002
80,2016-10-08,consoles_games,949.99
81,2016-10-08,diapers_and_hygiene,134.9
82,2016-10-08,fashion_bags_accessories,49.9
83,2016-10-08,furniture_decor,1290.07
84,2016-10-08,garden_tools,69.99
85,2016-10-08,health_beauty,1019.6899999999999
86,2016-10-08,housewares,189.89000000000001
87,2016-10-08,industry_commerce_and_business,179.8
88,2016-10-08,office_furniture,689.99
89,2016-10-08,perfumery,999.5999999999999
90,2016-10-08,sports_leisure,71.49000000000001
91,2016-10-08,watches_gifts,1399.0
92,2016-10-09,bed_bath_table,89.38999999999999
93,2016-10-09,computers_accessories,35.0
94,2016-10-09,fashion_bags_accessories,79.9
95,2016-10-09,furniture_decor,619.88
96,2016-10-09,garden_tools,380.0
97,2016-10-09,health_beauty,255.89
98,2016-10-09,housewares,44.99
99,2016-10-09,office_furniture,129.97
100,2016-10-09,perfumery,11.9
101,2016-10-09,sports_leisure,102.8
102,2016-10-09,toys,649.98
103,2016-10-10,audio,24.99
104,2016-10-10,auto,161.99
105,2016-10-10,computers_accessories,19.0
106,2016-10-10,consoles_games,107.0
107,2016-10-10,fashion_bags_accessories,79.8
108,2016-10-10,fixed_telephony,6.0
109,2016-10-10,food,79.9
110,2016-10-10,furniture_decor,1208.26
111,2016-10-10,health_beauty,462.4
112,2016-10-10,housewares,32.99
113,2016-10-10,market_place,163.99
114,2016-10-10,office_furniture,176.97
115,2016-10-10,perfumery,16.9
116,2016-10-10,pet_shop,99.9
117,2016-10-10,sports_leisure,139.88
118,2016-10-10,telephony,49.8
119,2016-10-10,toys,329.79999999999995
120,2016-12-23,fashion_bags_accessories,10.9
121,2017-01-05,auto,21.8
122,2017-01-05,baby,21.8
123,2017-01-05,fashion_bags_accessories,98.10000000000001
124,2017-01-05,furniture_bedroom,73.2
125,2017-01-05,garden_tools,65.0
126,2017-01-05,music,19.8
127,2017-01-05,pet_shop,42.5
128,2017-01-05,stationery,10.9
129,2017-01-05,toys,43.8
130,2017-01-06,consoles_games,109.9
131,2017-01-06,fixed_telephony,10.49
132,2017-01-06,health_beauty,636.0
133,2017-01-06,toys,159.99
134,2017-01-07,cool_stuff,798.0
135,2017-01-07,furniture_decor,34.9
136,2017-01-07,health_beauty,370.0
137,2017-01-07,watches_gifts,149.0
138,2017-01-08,bed_bath_table,68.9
139,2017-01-08,fashion_bags_accessories,129.99
140,2017-01-08,fixed_telephony,10.99
141,2017-01-08,garden_tools,239.9
142,2017-01-09,cool_stuff,349.99
143,2017-01-09,furniture_decor,77.0
144,2017-01-09,health_beauty,109.9
145,2017-01-09,pet_shop,7.9
146,2017-01-09,sports_leisure,129.0
147,2017-01-10,bed_bath_table,114.80000000000001
148,2017-01-10,cool_stuff,176.0
149,2017-01-10,furniture_decor,64.9
150,2017-01-10,garden_tools,380.0
151,2017-01-10,watches_gifts,699.17
152,2017-01-11,baby,119.9
153,2017-01-11,fixed_telephony,10.99
154,2017-01-11,furniture_decor,17.5
155,2017-01-11,garden_tools,1140.0
156,2017-01-11,small_appliances,97.99
157,2017-01-11,sports_leisure,209.9
158,2017-01-11,toys,129.99
159,2017-01-11,watches_gifts,129.0
160,2017-01-12,baby,59.9
161,2017-01-12,computers_accessories,402.90000000000003
162,2017-01-12,fashion_bags_accessories,33.9
163,2017-01-12,furniture_decor,574.5
164,2017-01-12,housewares,19.9
165,2017-01-12,small_appliances,377.0
166,2017-01-12,telephony,10.49
167,2017-01-13,bed_bath_table,69.9
168,2017-01-13,furniture_decor,159.8
169,2017-01-13,garden_tools,1140.0
170,2017-01-13,health_beauty,189.99
171,2017-01-13,housewares,498.99
172,2017-01-13,sports_leisure,113.0
173,2017-01-13,watches_gifts,279.0
174,2017-01-14,consoles_games,109.9
175,2017-01-14,fixed_telephony,80.78999999999999
176,2017-01-14,furniture_decor,498.40000000000003
177,2017-01-14,sports_leisure,187.8
178,2017-01-15,bed_bath_table,48.9
179,2017-01-15,cool_stuff,38.9
180,2017-01-15,fashion_bags_accessories,89.99
181,2017-01-15,furniture_decor,547.1
182,2017-01-15,garden_tools,760.0
183,2017-01-15,health_beauty,349.9
184,2017-01-15,sports_leisure,183.9
185,2017-01-15,telephony,20.98
186,2017-01-15,toys,159.9
187,2017-01-16,auto,970.39
188,2017-01-16,cool_stuff,629.0
189,2017-01-16,electronics,39.0
190,2017-01-16,fashion_bags_accessories,114.69999999999999
191,2017-01-16,fixed_telephony,238.98000000000002
192,2017-01-16,furniture_decor,445.5
193,2017-01-16,health_beauty,719.98
194,2017-01-16,pet_shop,74.5
195,2017-01-16,sports_leisure,28.0
196,2017-01-16,telephony,14.97
